d,model,num_iters
10,simple_cgp_sam,581
10,simple_cgp_sam,486
10,simple_cgp_sam,1070
10,simple_cgp_sam,2952
10,simple_cgp_sam,959
10,simple_cgp_sam,2165
10,simple_cgp_sam,733
10,simple_cgp_sam,6893
10,simple_cgp_sam,2144
10,simple_cgp_sam,3380
10,simple_cgp_sam,3706
10,simple_cgp_sam,3511
10,simple_cgp_sam,595
10,simple_cgp_sam,1334
10,simple_cgp_sam,1853
10,simple_cgp_sam,3201
10,simple_cgp_sam,2359
10,simple_cgp_sam,3129
10,simple_cgp_sam,973
10,simple_cgp_sam,344
10,simple_cgp_sam,2804
10,simple_cgp_sam,858
10,simple_cgp_sam,1304
10,simple_cgp_sam,1212
10,simple_cgp_sam,712
10,simple_cgp_sam,1535
10,simple_cgp_sam,4108
10,simple_cgp_sam,1976
10,simple_cgp_sam,1207
10,simple_cgp_sam,2157
10,simple_cgp_sam,3287
10,simple_cgp_sam,1443
10,simple_cgp_sam,774
10,simple_cgp_sam,4135
10,simple_cgp_sam,3854
10,simple_cgp_sam,1722
10,simple_cgp_sam,1544
10,simple_cgp_sam,441
10,simple_cgp_sam,3379
10,simple_cgp_sam,3939
10,simple_cgp_sam,6735
10,simple_cgp_sam,1214
10,simple_cgp_sam,859
10,simple_cgp_sam,2441
10,simple_cgp_sam,1836
10,simple_cgp_sam,1023
10,simple_cgp_sam,3525
10,simple_cgp_sam,3022
10,simple_cgp_sam,830
10,simple_cgp_sam,2406
10,simple_cgp_sam,2109
10,simple_cgp_sam,1193
10,simple_cgp_sam,902
10,simple_cgp_sam,404
10,simple_cgp_sam,3719
10,simple_cgp_sam,1531
10,simple_cgp_sam,3133
10,simple_cgp_sam,5931
10,simple_cgp_sam,4439
10,simple_cgp_sam,913
10,simple_cgp_sam,606
10,simple_cgp_sam,2504
10,simple_cgp_sam,936
10,simple_cgp_sam,1073
10,simple_cgp_sam,3161
10,simple_cgp_sam,1584
10,simple_cgp_sam,8651
10,simple_cgp_sam,780
10,simple_cgp_sam,1405
10,simple_cgp_sam,3118
10,simple_cgp_sam,1764
10,simple_cgp_sam,933
10,simple_cgp_sam,1768
10,simple_cgp_sam,346
10,simple_cgp_sam,1083
10,simple_cgp_sam,738
10,simple_cgp_sam,2377
10,simple_cgp_sam,1045
10,simple_cgp_sam,2193
10,simple_cgp_sam,2742
10,simple_cgp_sam,1855
10,simple_cgp_sam,3459
10,simple_cgp_sam,887
10,simple_cgp_sam,3121
10,simple_cgp_sam,1090
10,simple_cgp_sam,1328
10,simple_cgp_sam,5748
10,simple_cgp_sam,1803
10,simple_cgp_sam,1724
10,simple_cgp_sam,3774
10,simple_cgp_sam,2570
10,simple_cgp_sam,3313
10,simple_cgp_sam,3701
10,simple_cgp_sam,641
10,simple_cgp_sam,900
10,simple_cgp_sam,758
10,simple_cgp_sam,645
10,simple_cgp_sam,1632
10,simple_cgp_sam,1109
10,simple_cgp_sam,1976
1,simple_cgp_sam,5
1,simple_cgp_sam,5
11,simple_cgp_sam,3442
11,simple_cgp_sam,1202
11,simple_cgp_sam,1454
11,simple_cgp_sam,4187
11,simple_cgp_sam,2230
11,simple_cgp_sam,1359
11,simple_cgp_sam,1114
11,simple_cgp_sam,3079
11,simple_cgp_sam,1831
11,simple_cgp_sam,1510
11,simple_cgp_sam,2068
1,simple_cgp_sam,11
11,simple_cgp_sam,811
11,simple_cgp_sam,2924
11,simple_cgp_sam,2104
11,simple_cgp_sam,2513
11,simple_cgp_sam,9408
11,simple_cgp_sam,966
11,simple_cgp_sam,1560
11,simple_cgp_sam,2024
11,simple_cgp_sam,1245
11,simple_cgp_sam,5119
11,simple_cgp_sam,1458
1,simple_cgp_sam,12
11,simple_cgp_sam,2965
11,simple_cgp_sam,984
11,simple_cgp_sam,4448
11,simple_cgp_sam,1829
11,simple_cgp_sam,2077
11,simple_cgp_sam,2942
11,simple_cgp_sam,1547
11,simple_cgp_sam,983
11,simple_cgp_sam,790
11,simple_cgp_sam,3871
11,simple_cgp_sam,6391
1,simple_cgp_sam,19
11,simple_cgp_sam,1930
11,simple_cgp_sam,5335
11,simple_cgp_sam,1683
11,simple_cgp_sam,3329
11,simple_cgp_sam,1041
11,simple_cgp_sam,1047
11,simple_cgp_sam,1400
11,simple_cgp_sam,718
11,simple_cgp_sam,3642
11,simple_cgp_sam,4440
11,simple_cgp_sam,2081
1,simple_cgp_sam,0
11,simple_cgp_sam,1560
11,simple_cgp_sam,1322
11,simple_cgp_sam,18629
11,simple_cgp_sam,1565
11,simple_cgp_sam,1347
11,simple_cgp_sam,726
11,simple_cgp_sam,984
11,simple_cgp_sam,3872
11,simple_cgp_sam,1364
11,simple_cgp_sam,772
11,simple_cgp_sam,3150
1,simple_cgp_sam,8
11,simple_cgp_sam,2576
11,simple_cgp_sam,1259
11,simple_cgp_sam,2488
11,simple_cgp_sam,3789
11,simple_cgp_sam,1487
11,simple_cgp_sam,917
11,simple_cgp_sam,1741
11,simple_cgp_sam,3234
11,simple_cgp_sam,1268
11,simple_cgp_sam,494
11,simple_cgp_sam,2542
1,simple_cgp_sam,4
11,simple_cgp_sam,2186
11,simple_cgp_sam,903
11,simple_cgp_sam,935
11,simple_cgp_sam,3946
11,simple_cgp_sam,1962
11,simple_cgp_sam,1506
11,simple_cgp_sam,2771
11,simple_cgp_sam,1284
11,simple_cgp_sam,5412
11,simple_cgp_sam,4207
11,simple_cgp_sam,1235
1,simple_cgp_sam,0
11,simple_cgp_sam,1695
11,simple_cgp_sam,4681
11,simple_cgp_sam,1422
11,simple_cgp_sam,1054
11,simple_cgp_sam,834
11,simple_cgp_sam,1121
11,simple_cgp_sam,2262
11,simple_cgp_sam,2487
11,simple_cgp_sam,2040
11,simple_cgp_sam,819
11,simple_cgp_sam,2842
1,simple_cgp_sam,1
11,simple_cgp_sam,5219
11,simple_cgp_sam,2082
11,simple_cgp_sam,2100
11,simple_cgp_sam,2519
11,simple_cgp_sam,3541
11,simple_cgp_sam,3026
11,simple_cgp_sam,1687
11,simple_cgp_sam,1037
11,simple_cgp_sam,1769
11,simple_cgp_sam,878
11,simple_cgp_sam,1981
1,simple_cgp_sam,7
11,simple_cgp_sam,636
1,simple_cgp_sam,3
1,simple_cgp_sam,6
12,simple_cgp_sam,1042
12,simple_cgp_sam,4137
12,simple_cgp_sam,1778
12,simple_cgp_sam,4828
12,simple_cgp_sam,2231
12,simple_cgp_sam,2615
12,simple_cgp_sam,6298
12,simple_cgp_sam,7091
12,simple_cgp_sam,7621
12,simple_cgp_sam,2407
12,simple_cgp_sam,1748
1,simple_cgp_sam,37
12,simple_cgp_sam,1937
12,simple_cgp_sam,1778
12,simple_cgp_sam,1229
12,simple_cgp_sam,2138
12,simple_cgp_sam,6698
12,simple_cgp_sam,1835
12,simple_cgp_sam,844
12,simple_cgp_sam,4281
12,simple_cgp_sam,3596
12,simple_cgp_sam,1874
12,simple_cgp_sam,2118
1,simple_cgp_sam,8
12,simple_cgp_sam,1400
12,simple_cgp_sam,1637
12,simple_cgp_sam,3936
12,simple_cgp_sam,8781
12,simple_cgp_sam,2311
12,simple_cgp_sam,5219
12,simple_cgp_sam,3239
12,simple_cgp_sam,2032
12,simple_cgp_sam,3472
12,simple_cgp_sam,8455
12,simple_cgp_sam,1884
1,simple_cgp_sam,17
12,simple_cgp_sam,3466
12,simple_cgp_sam,3318
12,simple_cgp_sam,2865
12,simple_cgp_sam,1219
12,simple_cgp_sam,1838
12,simple_cgp_sam,2694
12,simple_cgp_sam,854
12,simple_cgp_sam,3499
12,simple_cgp_sam,1666
12,simple_cgp_sam,2097
12,simple_cgp_sam,4844
1,simple_cgp_sam,8
12,simple_cgp_sam,3923
12,simple_cgp_sam,1230
12,simple_cgp_sam,6938
12,simple_cgp_sam,3153
12,simple_cgp_sam,4994
12,simple_cgp_sam,1346
12,simple_cgp_sam,1355
12,simple_cgp_sam,2071
12,simple_cgp_sam,6085
12,simple_cgp_sam,5290
12,simple_cgp_sam,2445
1,simple_cgp_sam,23
12,simple_cgp_sam,1928
12,simple_cgp_sam,1854
12,simple_cgp_sam,5580
12,simple_cgp_sam,1893
12,simple_cgp_sam,1572
12,simple_cgp_sam,1175
12,simple_cgp_sam,2235
12,simple_cgp_sam,3744
12,simple_cgp_sam,7068
12,simple_cgp_sam,2068
12,simple_cgp_sam,1356
1,simple_cgp_sam,0
12,simple_cgp_sam,1266
12,simple_cgp_sam,4326
12,simple_cgp_sam,2477
12,simple_cgp_sam,14393
12,simple_cgp_sam,2578
12,simple_cgp_sam,2063
12,simple_cgp_sam,2627
12,simple_cgp_sam,1155
12,simple_cgp_sam,6165
12,simple_cgp_sam,2082
12,simple_cgp_sam,1138
1,simple_cgp_sam,0
12,simple_cgp_sam,1337
12,simple_cgp_sam,1304
12,simple_cgp_sam,7609
12,simple_cgp_sam,3119
12,simple_cgp_sam,5085
12,simple_cgp_sam,2444
12,simple_cgp_sam,2771
12,simple_cgp_sam,5431
12,simple_cgp_sam,3782
12,simple_cgp_sam,1195
12,simple_cgp_sam,3032
1,simple_cgp_sam,0
12,simple_cgp_sam,1624
12,simple_cgp_sam,7289
12,simple_cgp_sam,1596
12,simple_cgp_sam,1499
12,simple_cgp_sam,6095
12,simple_cgp_sam,9196
12,simple_cgp_sam,2970
12,simple_cgp_sam,2160
12,simple_cgp_sam,2326
12,simple_cgp_sam,5164
12,simple_cgp_sam,1628
1,simple_cgp_sam,2
12,simple_cgp_sam,1640
1,simple_cgp_sam,4
1,simple_cgp_sam,0
13,simple_cgp_sam,5931
13,simple_cgp_sam,4570
13,simple_cgp_sam,8069
13,simple_cgp_sam,3069
13,simple_cgp_sam,7357
13,simple_cgp_sam,6417
13,simple_cgp_sam,2961
13,simple_cgp_sam,11277
13,simple_cgp_sam,4144
13,simple_cgp_sam,8127
13,simple_cgp_sam,21406
1,simple_cgp_sam,0
13,simple_cgp_sam,1022
13,simple_cgp_sam,6467
13,simple_cgp_sam,7640
13,simple_cgp_sam,1618
13,simple_cgp_sam,12254
13,simple_cgp_sam,2110
13,simple_cgp_sam,3016
13,simple_cgp_sam,6234
13,simple_cgp_sam,6435
13,simple_cgp_sam,2685
13,simple_cgp_sam,1619
1,simple_cgp_sam,4
13,simple_cgp_sam,3492
13,simple_cgp_sam,2546
13,simple_cgp_sam,4980
13,simple_cgp_sam,2047
13,simple_cgp_sam,1004
13,simple_cgp_sam,2403
13,simple_cgp_sam,3577
13,simple_cgp_sam,7847
13,simple_cgp_sam,2947
13,simple_cgp_sam,1675
13,simple_cgp_sam,2613
1,simple_cgp_sam,0
13,simple_cgp_sam,4764
13,simple_cgp_sam,3264
13,simple_cgp_sam,3957
13,simple_cgp_sam,3118
13,simple_cgp_sam,2577
13,simple_cgp_sam,3057
13,simple_cgp_sam,1830
13,simple_cgp_sam,2964
13,simple_cgp_sam,1847
13,simple_cgp_sam,2579
13,simple_cgp_sam,12227
1,simple_cgp_sam,6
13,simple_cgp_sam,1274
13,simple_cgp_sam,3052
13,simple_cgp_sam,3705
13,simple_cgp_sam,3201
13,simple_cgp_sam,6205
13,simple_cgp_sam,2369
13,simple_cgp_sam,2431
13,simple_cgp_sam,3272
13,simple_cgp_sam,16896
13,simple_cgp_sam,1698
13,simple_cgp_sam,14173
1,simple_cgp_sam,0
13,simple_cgp_sam,809
13,simple_cgp_sam,1158
13,simple_cgp_sam,2143
13,simple_cgp_sam,3809
13,simple_cgp_sam,5119
13,simple_cgp_sam,5900
13,simple_cgp_sam,2550
13,simple_cgp_sam,3535
13,simple_cgp_sam,1987
13,simple_cgp_sam,4707
13,simple_cgp_sam,7981
1,simple_cgp_sam,0
13,simple_cgp_sam,5810
13,simple_cgp_sam,1747
13,simple_cgp_sam,5194
13,simple_cgp_sam,7473
13,simple_cgp_sam,7268
13,simple_cgp_sam,1218
13,simple_cgp_sam,7109
13,simple_cgp_sam,6698
13,simple_cgp_sam,5181
13,simple_cgp_sam,4146
13,simple_cgp_sam,1845
1,simple_cgp_sam,0
13,simple_cgp_sam,5382
13,simple_cgp_sam,4911
13,simple_cgp_sam,5032
13,simple_cgp_sam,3849
13,simple_cgp_sam,6895
13,simple_cgp_sam,1884
13,simple_cgp_sam,2341
13,simple_cgp_sam,2811
13,simple_cgp_sam,2496
13,simple_cgp_sam,5778
13,simple_cgp_sam,2982
1,simple_cgp_sam,22
13,simple_cgp_sam,4205
13,simple_cgp_sam,1985
13,simple_cgp_sam,3746
13,simple_cgp_sam,5312
13,simple_cgp_sam,4327
13,simple_cgp_sam,2741
13,simple_cgp_sam,2182
13,simple_cgp_sam,8825
13,simple_cgp_sam,12103
13,simple_cgp_sam,2965
13,simple_cgp_sam,7943
1,simple_cgp_sam,12
13,simple_cgp_sam,7807
1,simple_cgp_sam,0
1,simple_cgp_sam,2
14,simple_cgp_sam,14679
14,simple_cgp_sam,12462
14,simple_cgp_sam,3679
14,simple_cgp_sam,1661
14,simple_cgp_sam,4682
14,simple_cgp_sam,2896
14,simple_cgp_sam,3893
14,simple_cgp_sam,2787
14,simple_cgp_sam,6944
14,simple_cgp_sam,4183
14,simple_cgp_sam,2825
1,simple_cgp_sam,0
14,simple_cgp_sam,7270
14,simple_cgp_sam,8379
14,simple_cgp_sam,3943
14,simple_cgp_sam,4072
14,simple_cgp_sam,3911
14,simple_cgp_sam,7978
14,simple_cgp_sam,4195
14,simple_cgp_sam,3371
14,simple_cgp_sam,2649
14,simple_cgp_sam,6490
14,simple_cgp_sam,2633
1,simple_cgp_sam,37
14,simple_cgp_sam,5135
14,simple_cgp_sam,3864
14,simple_cgp_sam,3162
14,simple_cgp_sam,8014
14,simple_cgp_sam,3585
14,simple_cgp_sam,8036
14,simple_cgp_sam,8942
14,simple_cgp_sam,3104
14,simple_cgp_sam,15940
14,simple_cgp_sam,2518
14,simple_cgp_sam,6094
1,simple_cgp_sam,18
14,simple_cgp_sam,4383
14,simple_cgp_sam,9117
14,simple_cgp_sam,2720
14,simple_cgp_sam,2546
14,simple_cgp_sam,4878
14,simple_cgp_sam,7037
14,simple_cgp_sam,9423
14,simple_cgp_sam,7398
14,simple_cgp_sam,4907
14,simple_cgp_sam,4165
14,simple_cgp_sam,5612
1,simple_cgp_sam,0
14,simple_cgp_sam,4093
14,simple_cgp_sam,4141
14,simple_cgp_sam,7225
14,simple_cgp_sam,4882
14,simple_cgp_sam,1849
14,simple_cgp_sam,19020
14,simple_cgp_sam,5893
14,simple_cgp_sam,5018
14,simple_cgp_sam,9636
14,simple_cgp_sam,5885
14,simple_cgp_sam,3458
1,simple_cgp_sam,9
14,simple_cgp_sam,3369
14,simple_cgp_sam,9340
14,simple_cgp_sam,6371
14,simple_cgp_sam,5403
14,simple_cgp_sam,4874
14,simple_cgp_sam,4595
14,simple_cgp_sam,2542
14,simple_cgp_sam,7463
14,simple_cgp_sam,3880
14,simple_cgp_sam,4715
14,simple_cgp_sam,2071
1,simple_cgp_sam,15
14,simple_cgp_sam,2590
14,simple_cgp_sam,7003
14,simple_cgp_sam,2683
14,simple_cgp_sam,3914
14,simple_cgp_sam,3732
14,simple_cgp_sam,8158
14,simple_cgp_sam,4819
14,simple_cgp_sam,3300
14,simple_cgp_sam,13361
14,simple_cgp_sam,7323
14,simple_cgp_sam,8498
1,simple_cgp_sam,6
14,simple_cgp_sam,12882
14,simple_cgp_sam,3717
14,simple_cgp_sam,4256
14,simple_cgp_sam,3922
14,simple_cgp_sam,4061
14,simple_cgp_sam,5853
14,simple_cgp_sam,4772
14,simple_cgp_sam,3556
14,simple_cgp_sam,13210
14,simple_cgp_sam,6228
14,simple_cgp_sam,4218
1,simple_cgp_sam,3
14,simple_cgp_sam,4876
14,simple_cgp_sam,2523
14,simple_cgp_sam,2597
14,simple_cgp_sam,3086
14,simple_cgp_sam,3127
14,simple_cgp_sam,2499
14,simple_cgp_sam,8770
14,simple_cgp_sam,2204
14,simple_cgp_sam,2013
14,simple_cgp_sam,5966
14,simple_cgp_sam,9151
1,simple_cgp_sam,0
14,simple_cgp_sam,5702
1,simple_cgp_sam,17
1,simple_cgp_sam,0
15,simple_cgp_sam,9593
15,simple_cgp_sam,6066
15,simple_cgp_sam,11213
15,simple_cgp_sam,17569
15,simple_cgp_sam,9889
15,simple_cgp_sam,5256
15,simple_cgp_sam,3649
15,simple_cgp_sam,5640
15,simple_cgp_sam,1999
15,simple_cgp_sam,6704
15,simple_cgp_sam,3625
1,simple_cgp_sam,0
15,simple_cgp_sam,4428
15,simple_cgp_sam,4306
15,simple_cgp_sam,2026
15,simple_cgp_sam,2045
15,simple_cgp_sam,15064
15,simple_cgp_sam,3492
15,simple_cgp_sam,3027
15,simple_cgp_sam,2626
15,simple_cgp_sam,6313
15,simple_cgp_sam,10554
15,simple_cgp_sam,2655
1,simple_cgp_sam,2
15,simple_cgp_sam,7277
15,simple_cgp_sam,8290
15,simple_cgp_sam,5605
15,simple_cgp_sam,6692
15,simple_cgp_sam,10687
15,simple_cgp_sam,4323
15,simple_cgp_sam,14893
15,simple_cgp_sam,13266
15,simple_cgp_sam,4231
15,simple_cgp_sam,18953
15,simple_cgp_sam,4689
1,simple_cgp_sam,3
15,simple_cgp_sam,8515
15,simple_cgp_sam,2785
15,simple_cgp_sam,9681
15,simple_cgp_sam,1988
15,simple_cgp_sam,3744
15,simple_cgp_sam,5435
15,simple_cgp_sam,14522
15,simple_cgp_sam,4628
15,simple_cgp_sam,8249
15,simple_cgp_sam,10503
15,simple_cgp_sam,3750
1,simple_cgp_sam,10
15,simple_cgp_sam,3828
15,simple_cgp_sam,10177
15,simple_cgp_sam,3571
15,simple_cgp_sam,2897
15,simple_cgp_sam,7592
15,simple_cgp_sam,4933
15,simple_cgp_sam,6565
15,simple_cgp_sam,8105
15,simple_cgp_sam,3311
15,simple_cgp_sam,2287
15,simple_cgp_sam,5410
1,simple_cgp_sam,7
15,simple_cgp_sam,10833
15,simple_cgp_sam,6571
15,simple_cgp_sam,5473
15,simple_cgp_sam,5086
15,simple_cgp_sam,10763
15,simple_cgp_sam,7730
15,simple_cgp_sam,5910
15,simple_cgp_sam,7167
15,simple_cgp_sam,2413
15,simple_cgp_sam,4892
15,simple_cgp_sam,2074
1,simple_cgp_sam,10
15,simple_cgp_sam,5011
15,simple_cgp_sam,7341
15,simple_cgp_sam,4543
15,simple_cgp_sam,3875
15,simple_cgp_sam,15055
15,simple_cgp_sam,4571
15,simple_cgp_sam,5375
15,simple_cgp_sam,6331
15,simple_cgp_sam,9284
15,simple_cgp_sam,3427
15,simple_cgp_sam,5601
1,simple_cgp_sam,0
15,simple_cgp_sam,7036
15,simple_cgp_sam,8782
15,simple_cgp_sam,2960
15,simple_cgp_sam,8884
15,simple_cgp_sam,3804
15,simple_cgp_sam,4104
15,simple_cgp_sam,6715
15,simple_cgp_sam,7599
15,simple_cgp_sam,10161
15,simple_cgp_sam,6518
