d,model,num_iters
1,simple_tgp_multi,3
1,simple_tgp_multi,1
1,simple_tgp_multi,2
1,simple_tgp_multi,10
1,simple_tgp_multi,0
1,simple_tgp_multi,6
1,simple_tgp_multi,7
1,simple_tgp_multi,3
1,simple_tgp_multi,5
1,simple_tgp_multi,0
1,simple_tgp_multi,4
1,simple_tgp_multi,4
1,simple_tgp_multi,3
1,simple_tgp_multi,10
1,simple_tgp_multi,0
1,simple_tgp_multi,1
1,simple_tgp_multi,16
1,simple_tgp_multi,0
1,simple_tgp_multi,1
1,simple_tgp_multi,3
1,simple_tgp_multi,7
1,simple_tgp_multi,1
1,simple_tgp_multi,0
1,simple_tgp_multi,5
1,simple_tgp_multi,0
1,simple_tgp_multi,0
1,simple_tgp_multi,12
1,simple_tgp_multi,1
1,simple_tgp_multi,5
1,simple_tgp_multi,15
2,simple_tgp_multi,16
2,simple_tgp_multi,6
2,simple_tgp_multi,7
2,simple_tgp_multi,7
2,simple_tgp_multi,2
2,simple_tgp_multi,14
2,simple_tgp_multi,10
2,simple_tgp_multi,6
2,simple_tgp_multi,8
2,simple_tgp_multi,10
2,simple_tgp_multi,10
2,simple_tgp_multi,10
2,simple_tgp_multi,9
2,simple_tgp_multi,7
2,simple_tgp_multi,3
2,simple_tgp_multi,11
2,simple_tgp_multi,5
2,simple_tgp_multi,7
2,simple_tgp_multi,14
2,simple_tgp_multi,2
2,simple_tgp_multi,11
2,simple_tgp_multi,24
2,simple_tgp_multi,7
2,simple_tgp_multi,11
2,simple_tgp_multi,6
2,simple_tgp_multi,13
2,simple_tgp_multi,15
2,simple_tgp_multi,5
2,simple_tgp_multi,10
2,simple_tgp_multi,5
3,simple_tgp_multi,30
3,simple_tgp_multi,28
3,simple_tgp_multi,55
3,simple_tgp_multi,43
3,simple_tgp_multi,70
3,simple_tgp_multi,28
3,simple_tgp_multi,24
3,simple_tgp_multi,27
3,simple_tgp_multi,51
3,simple_tgp_multi,46
3,simple_tgp_multi,23
3,simple_tgp_multi,43
3,simple_tgp_multi,28
3,simple_tgp_multi,42
